First name Last name	Last name of the artist 	First name of the artist	Sex of the artist (F/M/FM/empty)	Membership in movement, if applicable	Biographical elements	Detailed address of the artist, as it appears in the catalogue	Country of the artist	State of the artist	City of the artist	City coordinate location	City lat	City long	Street number of the artist's address	Street name of the artist's address	Street coordinate location	Street lat	Street long	Floor level of the artist's address	Local address of the artist	Additional information on the artist's address	Address as it appears in the catalogue	Country of the artist 2	State of the artist 2	City of the artist 2	Street number of the artist's address 2	Street name of the artist's address 2	Floor level of the artist's address 2	Local address of the artist 2	Additional information on the artist's address 2	Artist's nationality	Student of	Birth year	Month of birth	Day of birth	Detailed birth address of the artist, as it appears in the catalogue	Country of birth	State of birth	City of birth	Street number of the birth address	Street name of the birth address	Floor level of the birth address	Local address of birth	Additional information on the birth address	Year of death	Month of death	Day of death	Detailed death address of the artist, as it appears in the catalogue	Country of death	State of death	City of death	Street number of the death address	Street name of the death address	Floor level of the death address	Local address of death	Additional information on the death address	Notes	Number	Title of artwork	Subtitle	Dimension_bis	Medium_bis	Translated title	Start year of creation	Start month of creation	Start day of creation	End year of creation	End month of creation	End day of creation	Country of creation	State of creation	City of creation	Dimensions	Categories	Medium	Room	Chapter of the catalogue ?	Price	Location/Owner	Owner's country	Owner's state	Owner's city	Notes2
Fritz von ABERCRON 	von ABERCRON 	Fritz	M		 Grossborstel. Niendorferweg, près Hambourg (Allemagne).	 Grossborstel. Niendorferweg, près Hambourg (Allemagne).	Germany	 	Groß Borstel	53.61366,9.98259	53.61366	9.98259	 	Niendorferweg				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	Première Neige.	A. Pl.	Agrandissement	Papier au platine	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Henri ADAM 	ADAM 	Henri	M		 3, Impasse Cauvigny, Caen (Calvados).	 3, Impasse Cauvigny, Caen (Calvados).	France	 	Caen	49.182222222222,-0.37055555555556	49.182222222222	-0.37055555555556	3	 Impasse Cauvigny				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	Sur les Bords de l'Orne.	D. Al.	Épreuve directe	Papier albuminé	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
ALEXANDRE	ALEXANDRE		M	Linked Ring	 L. R. 268, rue Haute, Bruxelles.	268, rue Haute, Bruxelles.	Belgium	 	City of Brussels	50.846666666666664,4.351666666666667	50.846666666666664	4.351666666666667	268	Rue Haute - Hoogstraat	50.837829,4.349341	50.837829	4.349341	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	Éclaircie.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
ALEXANDRE	ALEXANDRE		M	Linked Ring	 L. R. 268, rue Haute, Bruxelles.	268, rue Haute, Bruxelles.	Belgium	 	City of Brussels	50.846666666666664,4.351666666666667	50.846666666666664	4.351666666666667	268	Rue Haute - Hoogstraat	50.837829,4.349341	50.837829	4.349341	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	Le Pêcheur de crevettes.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Domingo AMENOS 	AMENOS 	Domingo	M		 Pelayo, 2, 3°, 2°, Barcelone.	 Pelayo, 2, 3°, 2°, Barcelone.	Spain	 	Barcelona	41.3825,2.1769444444444	41.3825	2.1769444444444	2	 Pelayo				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	Méditation.	D. Ch. V.	Épreuve directe	Papier au charbon velours Artigue	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Ernest R. ASHTON 	ASHTON 	Ernest R.	M	Linked Ring	 L. R. Camden Park. Tunbridge Wells (Angleterre).	Camden Park. Tunbridge Wells (Angleterre).	England	 	Royal Tunbridge Wells	51.132,0.263	51.132	0.263	 	Camden Park				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6	Un Fidèle.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Ernest R. ASHTON 	ASHTON 	Ernest R.	M	Linked Ring	 L. R. Camden Park. Tunbridge Wells (Angleterre).	Camden Park. Tunbridge Wells (Angleterre).	England	 	Royal Tunbridge Wells	51.132,0.263	51.132	0.263	 	Camden Park				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	7	Le Soir près des Pyramides.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Ernest R. ASHTON 	ASHTON 	Ernest R.	M	Linked Ring	 L. R. Camden Park. Tunbridge Wells (Angleterre).	Camden Park. Tunbridge Wells (Angleterre).	England	 	Royal Tunbridge Wells	51.132,0.263	51.132	0.263	 	Camden Park				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	8	L'Heure de la Prière.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
S. ASHTON HAND 	ASHTON HAND 	S.			 1213, Filbert Street, Philadelphie (U. S. A).	 1213, Filbert Street, Philadelphie (U. S. A).	United States of America	 	Philadelphia	39.952777777778,-75.163611111111	39.952777777778	-75.163611111111	1213	 Filbert Street				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	9	A la Remorque.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Edward ATKINSON 	ATKINSON 	Edward	M		 23, Wyatt Road, Highbury, Londres.	 23, Wyatt Road, Highbury, Londres.	England	 	London	51.507222222222,-0.1275	51.507222222222	-0.1275	23	 Wyatt Road				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	10	Doucement la nuit tomba.	A. Br.	Agrandissement	Papier au gelatino-bromure d'argent	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
