First name Last name	Last name of the artist	First name of the artist	Sex of the artist (F/M/FM/empty)	Membership in movement, if applicable	Biographical elements	Detailed address of the artist, as it appears in the catalogue	Country of the artist	State of the artist	City of the artist	City coordinate location	City lat	City long	Street number of the artist's address	Street name of the artist's address	Street coordinate location	Street lat	Street long	Floor level of the artist's address	Local address of the artist	Additional information on the artist's address	Address as it appears in the catalogue	Country of the artist 2	State of the artist 2	City of the artist 2	Street number of the artist's address 2	Street name of the artist's address 2	Floor level of the artist's address 2	Local address of the artist 2	Additional information on the artist's address 2	Artist's nationality	Student of	Birth year	Month of birth	Day of birth	Detailed birth address of the artist, as it appears in the catalogue	Country of birth	State of birth	City of birth	Street number of the birth address	Street name of the birth address	Floor level of the birth address	Local address of birth	Additional information on the birth address	Year of death	Month of death	Day of death	Detailed death address of the artist, as it appears in the catalogue	Country of death	State of death	City of death	Street number of the death address	Street name of the death address	Floor level of the death address	Local address of death	Additional information on the death address	Notes	Number	Title of artwork	Subtitle	Dimension_bis	Medium_bis	Translated title	Start year of creation	Start month of creation	Start day of creation	End year of creation	End month of creation	End day of creation	Country of creation	State of creation	City of creation	Dimensions	Categories	Medium	Room	Chapter of the catalogue ?	Price	Location/Owner	Owner's country	Owner's state	Owner's city	Notes2
Yarnall ABBOTT 	ABBOTT 	Yarnall	M	Linked Ring	 L. R. 43, South 18th St. Philadelphie, (E. U. A.).	  43, South 18th St. Philadelphie, (E. U. A.).	United States of America	 	Philadelphia	39.952777777778,-75.163611111111	39.952777777778	-75.163611111111	43	 South 18th St.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	Illustration pour Mme Butterfly (Century Magazine).	Pl.		Papier au platine	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Yarnall ABBOTT 	ABBOTT 	Yarnall	M	Linked Ring	 L. R. 43, South 18th St. Philadelphie, (E. U. A.).	  43, South 18th St. Philadelphie, (E. U. A.).	United States of America	 	Philadelphia	39.952777777778,-75.163611111111	39.952777777778	-75.163611111111	43	 South 18th St.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	Illustration pour Mme Butterfly (Century Magazine).	Pl.		Papier au platine	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Yarnall ABBOTT 	ABBOTT 	Yarnall	M	Linked Ring	 L. R. 43, South 18th St. Philadelphie, (E. U. A.).	  43, South 18th St. Philadelphie, (E. U. A.).	United States of America	 	Philadelphia	39.952777777778,-75.163611111111	39.952777777778	-75.163611111111	43	 South 18th St.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	La Jetée.	Pl.		Papier au platine	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Yarnall ABBOTT 	ABBOTT 	Yarnall	M	Linked Ring	 L. R. 43, South 18th St. Philadelphie, (E. U. A.).	  43, South 18th St. Philadelphie, (E. U. A.).	United States of America	 	Philadelphia	39.952777777778,-75.163611111111	39.952777777778	-75.163611111111	43	 South 18th St.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	Portrait.	Pl.		Papier au platine	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Yarnall ABBOTT 	ABBOTT 	Yarnall	M	Linked Ring	 L. R. 43, South 18th St. Philadelphie, (E. U. A.).	  43, South 18th St. Philadelphie, (E. U. A.).	United States of America	 	Philadelphia	39.952777777778,-75.163611111111	39.952777777778	-75.163611111111	43	 South 18th St.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	Maternité.	Pl.		Papier au platine	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Yarnall ABBOTT 	ABBOTT 	Yarnall	M	Linked Ring	 L. R. 43, South 18th St. Philadelphie, (E. U. A.).	  43, South 18th St. Philadelphie, (E. U. A.).	United States of America	 	Philadelphia	39.952777777778,-75.163611111111	39.952777777778	-75.163611111111	43	 South 18th St.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6	Portrait d’Holland Day.	Pl.		Papier au platine	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
J. B. ACHARD 	ACHARD 	J. B.		Photo-Club de Paris / Photo-Club Drouais	  P. C. P. - P. C. DROUAIS. 10, rue de Flandre, Dreux (Eure-et-Loir).	10, rue de Flandre, Dreux (Eure-et-Loir).	France	 	Dreux	48.736388888889,1.3655555555556	48.736388888889	1.3655555555556	10	 rue de Flandre				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	7	Étude.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
J. B. ACHARD 	ACHARD 	J. B.		Photo-Club de Paris / Photo-Club Drouais	  P. C. P. - P. C. DROUAIS. 10, rue de Flandre, Dreux (Eure-et-Loir).	10, rue de Flandre, Dreux (Eure-et-Loir).	France	 	Dreux	48.736388888889,1.3655555555556	48.736388888889	1.3655555555556	10	 rue de Flandre				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	8	Sous les pommiers.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
J. B. ACHARD 	ACHARD 	J. B.		Photo-Club de Paris / Photo-Club Drouais	  P. C. P. - P. C. DROUAIS. 10, rue de Flandre, Dreux (Eure-et-Loir).	10, rue de Flandre, Dreux (Eure-et-Loir).	France	 	Dreux	48.736388888889,1.3655555555556	48.736388888889	1.3655555555556	10	 rue de Flandre				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	9	Dans la côte.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Edouard ADELOT 	ADELOT 	Edouard	M	Cercle L'Effort	  C. E. Bruxelles.	   Bruxelles.	Belgium	 	City of Brussels	50.846666666666664,4.351666666666667	50.846666666666664	4.351666666666667	 					 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	10	Matinée d'octobre.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Edouard ADELOT 	ADELOT 	Edouard		Cercle L'Effort	  C. E. Bruxelles.	   Bruxelles.	Belgium	 	City of Brussels	50.846666666666664,4.351666666666667	50.846666666666664	4.351666666666667	 					 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	11	Le Ruisseau.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Victor ADRIEN 	ADRIEN 	Victor	M		 82, rue Saint-Georges, Nancy (Meurthe-et-Moselle).	 82, rue Saint-Georges, Nancy (Meurthe-et-Moselle).	France	 	Nancy	48.692777777778,6.1836111111111	48.692777777778	6.1836111111111	82	rue Saint-Georges	48.6915,6.18502	48.6915	6.18502	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	12	Au bivouac.	Ch.		Papier au charbon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Victor ADRIEN 	ADRIEN 	Victor	M		 82, rue Saint-Georges, Nancy (Meurthe-et-Moselle).	 82, rue Saint-Georges, Nancy (Meurthe-et-Moselle).	France	 	Nancy	48.692777777778,6.1836111111111	48.692777777778	6.1836111111111	82	rue Saint-Georges	48.6915,6.18502	48.6915	6.18502	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	13	Pâturage.	Ch.		Papier au charbon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Ch. AERTS 	AERTS 	Ch.	M		 137, rue Saint-Dizier, Nancy (Meurthe-et-Moselle).	 137, rue Saint-Dizier, Nancy (Meurthe-et-Moselle).	France	 	Nancy	48.692777777778,6.1836111111111	48.692777777778	6.1836111111111	137	Rue Saint-Dizier	48.689,6.18379	48.689	6.18379	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	14	La Moselle à la Flie.	A. Ch.	Agrandissement	Papier au charbon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
