First name Last name	Last name of the artist	First name of the artist	Sex of the artist (F/M/FM/empty)	Membership in movement, if applicable	Biographical elements	Detailed address of the artist, as it appears in the catalogue	Country of the artist	State of the artist	City of the artist	City coordinate location	City lat	City long	Street number of the artist's address	Street name of the artist's address	Street coordinate location	Street lat	Street long	Floor level of the artist's address	Local address of the artist	Additional information on the artist's address	Address as it appears in the catalogue	Country of the artist 2	State of the artist 2	City of the artist 2	Street number of the artist's address 2	Street name of the artist's address 2	Floor level of the artist's address 2	Local address of the artist 2	Additional information on the artist's address 2	Artist's nationality	Student of	Birth year	Month of birth	Day of birth	Detailed birth address of the artist, as it appears in the catalogue	Country of birth	State of birth	City of birth	Street number of the birth address	Street name of the birth address	Floor level of the birth address	Local address of birth	Additional information on the birth address	Year of death	Month of death	Day of death	Detailed death address of the artist, as it appears in the catalogue	Country of death	State of death	City of death	Street number of the death address	Street name of the death address	Floor level of the death address	Local address of death	Additional information on the death address	Notes	Number	Title of artwork	Subtitle	Dimension_bis	Medium_bis	Translated title	Start year of creation	Start month of creation	Start day of creation	End year of creation	End month of creation	End day of creation	Country of creation	State of creation	City of creation	Dimensions	Categories	Medium	Room	Chapter of the catalogue ?	Price	Location/Owner	Owner's country	Owner's state	Owner's city	Notes2	Column 75
Yarnall ABBOTT 	ABBOTT 	Yarnall	M	 	  15, rue Delambre, Paris.	  15, rue Delambre, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	15	rue Delambre	48.8415,2.32674	48.8415	2.32674	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	Le Calice.	D. Pl.	Épreuve directe	Papier au platine	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Yarnall ABBOTT 	ABBOTT 	Yarnall	M	 	  15, rue Delambre, Paris.	  15, rue Delambre, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	15	rue Delambre	48.8415,2.32674	48.8415	2.32674	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	Coryphée.	Gb.		Procédé à la gomme bichromatée	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Yarnall ABBOTT 	ABBOTT 	Yarnall	M	 	  15, rue Delambre, Paris.	  15, rue Delambre, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	15	rue Delambre	48.8415,2.32674	48.8415	2.32674	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	Waldweben.	D. Pl.	Épreuve directe	Papier au platine	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Yarnall ABBOTT 	ABBOTT 	Yarnall	M	 	  15, rue Delambre, Paris.	  15, rue Delambre, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	15	rue Delambre	48.8415,2.32674	48.8415	2.32674	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	Le Ruisseau (Hiver).	D. Pl.	Épreuve directe	Papier au platine	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Yarnall ABBOTT 	ABBOTT 	Yarnall	M	 	  15, rue Delambre, Paris.	  15, rue Delambre, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	15	rue Delambre	48.8415,2.32674	48.8415	2.32674	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	Marie.	Gb.		Procédé à la gomme bichromatée	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Edouard ADELOT 	ADELOT 	Edouard	M	Cercle L'Effort	  C. EFF. Bruxelles.	   Bruxelles.	Belgium	 	City of Brussels	50.846666666666664,4.351666666666667	50.846666666666664	4.351666666666667	 					 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6	La Récolte des Chardons.	Br.		Papier au gelatino-bromure d'argent	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
B. W. ARENDSEN	ARENDSEN	B. W.		 	 6, Molsteeg, Amsterdam, Hollande.	 6, Molsteeg, Amsterdam, Hollande.	Netherlands	 	Amsterdam	52.383333333333,4.9	52.383333333333	4.9	6	Molsteeg	52.3742,4.8906	52.3742	4.8906	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	7	Avant la pluie.	A. Br.	Agrandissement	Papier au gélatino-bromure d'argent	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Ernest R. ASHTON 	ASHTON 	Ernest R.	M	Linked Ring	  L. R. Camden Park, Tunbridge Wells (Angleterre).	   Camden Park, Tunbridge Wells (Angleterre).	England	 	Royal Tunbridge Wells	51.132,0.263	51.132	0.263	 	   Camden Park				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	8	Chez le Grand Mogol.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Ernest R. ASHTON 	ASHTON 	Ernest R.	M	Linked Ring	  L. R. Camden Park, Tunbridge Wells (Angleterre).	   Camden Park, Tunbridge Wells (Angleterre).	England	 	Royal Tunbridge Wells	51.132,0.263	51.132	0.263	 	   Camden Park				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	9	Dévotions de l'après-midi.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Wladimir BACHROUSCHINE 	BACHROUSCHINE 	Wladimir	M	Société de Photographie artistique de Moscou	  PRÉS. DE LA SOC. DE PHOTOGR. ARTIST. DE MOSCOU. Moscou.	Moscou.	Russia	 	Moscow	55.755833333333,37.617777777778	55.755833333333	37.617777777778	 					 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	10	Sauguine.	D. Gb. Fr.	Épreuve directe	Procédé à la gomme bichromatée, papier au charbon Fresson	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
